Victim,Date,Category,Description,Scam Alias,Scam Source,
Anonymous , 15 May 2024,Job Scam,"Recruited by Cruit-Link for hotel reviews on Lodgez, I discovered it required depositing money to complete tasks. After a brief hour-long training via WhatsApp, I created a Lodgez account and conducted trial reviews. No personal info was shared, only my mobile number.

The website is still live at https://gndl?.com/",Name: ashley / ASHLEY127X / cruit-link / lodgez,Contact:,
Anonymous , 15 May 2024,Impersonation Scam,"During work, I received a video call from +65 9460 247? on WhatsApp, which I answered, assuming it was a colleague. Instead, a person claiming to be a police officer, presumably Malay, appeared on screen, with a police department banner in the background. Despite my intention to hang up, the scammer immediately pressured me to show my IC without any explanation. Without a word, I ended the call. If this was a genuine officer, their conduct was extremely unprofessional and unacceptable.",Name: NA,Contact: 6594602476,
Anonymous , 14 May 2024,Job Scam,"On April 28, 2024, I received a WhatsApp message from Cindy of ""Adsvik Media Pte. Ltd"" asking if I was looking for a job. After verifying that the company is registered in Singapore, I replied to the message and was referred to contact the hirer via Telegram. Suspecting it was a scam, I reported and blocked the WhatsApp contact.

Today, May 14, 2024, I received a similar WhatsApp message from Jessica of Media Access (S) Pte Ltd. After confirming the company's registration, I replied. I received identical job offers from both companies.

The job offers from Adsvik Media Pte Ltd and Media Access (S) Pte. Ltd are alike: a work-from-home arrangement for the first six months, processing orders from clients like Agoda, Trip.com, and Booking.com. These recruiters are not employment agencies, so the probability of offering identical jobs is very low. Besides, Media Access (S) Pte. Ltd is registered as a company operating a data center, not in the digital marketing business.

I blocked and reported both WhatsApp contact numbers as phishing messages. To verify if the messages were from genuine recruiters, I attempted to call the recruiters' phone numbers using telephone calls, but no one picked up or the numbers were invalid.

I recall seeing similar offers from Adsvik Media Pte Ltd and Media Access (S) Pte Ltd. I hastily blocked and reported the WhatsApp number from Adsvik Media Pte Ltd before taking screenshots of the last few messages. I believe both are from scammers using valid Singapore-registered companies for phishing and scams.",Name: Scammers are impersonating valid singapore registered “media” companies as recruiters.,Contact:,
Anonymous , 14 May 2024,Job Scam,"Nature of the job, start minimum with $100 then search hotel and just submit. Pushing the hotel exposure online as per claimed. 1 cycle = 30 submission.

At times you will given exclusive 5x your based. If you cannot top up the different, all your $ will be gone.",Name: Jamie Tan / svportal4.com,Contact: 6598400024,
Anonymous , 14 May 2024,Impersonation Scam,"This morning, I received a call that sounded automated, claiming to be from ""ICA Singapore"". They said they've tried to reach me multiple times but couldn't, and insisted that my passport information is incorrect, needing urgent clarification. The call prompted me to press 1 for Chinese and 2 for English, etc.

It's worth noting that I recently received my permanent resident application result.

Hence, pls always double check the caller's identity via an alternative source such as official number before divulging more personal information. ",Name: ICA Singapore,Contact: 90549884,
Anonymous , 12 May 2024,Job Scam,"I came across an ad on Instagram regarding a freelance job and the payout is SGD$160 ~ SGD$300 helping Amazon. I was curious and I clicked on the link to find out more.

To make a long story short, I have attached the screenshot of the whats app chat and the links.'

Scammer Name : Jasmine 805119??. Daniel. 805135??

Remember not all job adverts online are genuine. Pls do your checks before accepting!",Name: Onward Recruit Sg,Contact: 80511937,
Anonymous , 12 May 2024,Internet Love Scam,"I met Su Yu Hang on a dating app, where he claimed to be from Malacca, Malaysia, residing in Singapore for six years with permanent residency, working in marketing. Initially, he seemed genuine, but soon he started boasting about his wealth and possessions, pushing for a shift to Telegram. He bombarded me with daily messages, calls, and photos, weaving tales of his affluent lifestyle. When he abruptly disappeared to Malacca, citing family emergencies and work commitments, and offered to involve me in a dubious private equity scheme, I grew suspicious. His insistence on gifting me a slot in the scheme, coupled with frustration when I declined, led me to uncover his scam through online research, confirming my suspicions.

Encountering individuals like Su Yu Hang, who exploit dating platforms for fraudulent schemes, is disheartening. However, sharing experiences like mine can help others recognise and avoid falling victim to similar scams, underscoring the importance of community vigilance in online interactions.",Name: Su yu hang/derick/j327j/92.327i,Contact: 6580517795,
Anonymous , 11 May 2024,Job Scam,"I came across this on Facebook: a Malaysian number added me on WhatsApp, urging me to download Signal for communication. Claiming to have worked for six months, they showed me a supposedly registered business on Arca, promising earnings through website clicks and commissions. After investing a significant sum, they claimed my account was locked, demanding $5000 for its release. I promptly reported the incident to the police.",Name: mamba,Contact:,
Anonymous , 10 May 2024,Impersonation Scam,"Yesterday, I received a call from someone posing as my roof awning contractor, claiming to have lost his phone and updating his contact number. Today, he asked me to update the DBS contact number and assist with a payment to his subcontractor, Raymond, via PayNow. Sensing something amiss, I contacted the original contractor's number and confirmed it was a scam call. The scammer had obtained my work details and contact information from previous WhatsApp conversations.",Name: pretended to be my awning contractor,Contact: 88032100,
Anonymous , 10 May 2024,Job Scam,"I was scammed via the website https://lgbri???.com while applying for the position of Online Travel Marketing Assistant. Here's what happened:

In response to Application #10379, the scammer, who goes by the name vanessa and can be contacted via WhatsApp at +65 9345 10??, shared the following information:

""Lodgez"" is a Singapore-based company that collaborates with renowned hotels to enhance their ratings and reviews through precise real-time data analysis. Our role is to improve the visibility and exposure of hotels to potential customers. Lodgez provides genuine and organic data traffic for hotel owners. The platform utilizes an integrated data algorithm, and your job is to submit product data by clicking. The system will handle data generation and distribution to the appropriate marketplaces.

You will receive a basic salary of $700 for every 7 consecutive days once you are fully committed to the job. The second source of income is commission-based, which varies and is based on the deals you optimize. The more deals you optimize per day, the more you can earn. The commission will be 0.5% of the hotel's price that you optimize, and it is paid out immediately upon job completion. Your operational working hours are from 10:00 to 22:00 daily. You have the flexibility to schedule your work at your convenience, and it typically takes about 30 to 60 minutes to complete your daily workload.",Name: Lodgez,Contact: 93451036,
Anonymous , 09 May 2024,Impersonation Scam,Received a local call (no +65 prefix) with automated voice saying that i have a transaction of x amount being charged to my posb credit card. Ask me to authorise or speak with a officer. I just hang up.,Name: POSb,Contact: 86192010,
Anonymous , 08 May 2024,Impersonation Scam,"Received 2 calls (local nuMbers without +65) from “HSBC” and “posb” within 10 mins saying i have unauthorised transactions on my credit card.

No idea since when, scam calls are no longer prefixed with +65…

Need to be alert…",Name: HSBC/POSB,Contact:,
Anonymous , 07 May 2024,Impersonation Scam,"Received a call from this number; it was an automated call with a local female voice, stating that they are calling from the immigration authority regarding a parcel. Most scam callers have internet or overseas numbers, but these scammers are now using local numbers. I believe the voice is created using AI and pre-recorded.

Stay alert; hang up immediately if the call sounds odd. Do not speak in full sentences because your voice could be recorded for scam purposes",Name: Immigration authority,Contact: 90579244,
Anonymous , 06 May 2024,Phishing Scam,"Received two phishing phone calls from ""OCBC"" in one day: in the morning from tel no. 936456?? and in the afternoon from tel no. 934198??. The automated message claimed a transaction on my OCBC card ending with 1510 (not my card) and prompted to press 1 to approve or 2 to speak to an officer. I hung up both times.

Sharing this experience to help raise awareness of this scam.",Name: OCBC,Contact: 93645687,
Anonymous , 04 May 2024,Phishing Scam,"I received the following phishing email:

*****
Subject: Duplicate Payment of May 2024 Invoice

Dear XXXXXX@yahoo.com,

We regret to inform you that there has been an inadvertent duplication in the payment of your recent invoice. Your invoice numbered 916565110 has been processed twice, resulting in an overpayment of 187.49 SGD.

We kindly request you to initiate a refund process by following the steps below:

    Invoice Number: 916565110
    Refund Amount: 187.49 SGD

To request a refund, please visit our official website at [replace this with the official website of the company] and navigate to the designated refund section.

Please note that if this issue is not rectified within the next 24 hours, the refund may be delayed.

Thank you for your prompt attention to this matter.

Sincerely,
MySingtel-App Billing Department

© 2024 - MySingtel-App All rights reserved

PS: We value your feedback! Kindly spare a moment to participate in our survey below. Your input is greatly appreciated.

*********

After clicking on the provided link, I was prompted to enter my card details, including the card number, expiration date, and CCV. However, upon refreshing the page, I encountered an error message stating that the site could not be reached. Suspecting foul play, I double-checked the email sender and confirmed that it was not from Singtel. Immediately, I contacted my bank to block and replace my card.

Given this experience, I believe that refund scams may become more prevalent in the near future.",Name: SINGTEL,Contact:,
Anonymous , 01 May 2024,Impersonation Scam,"We're Eatigo Singapore, a platform for discounted dining reservations. Lately, we've been alerted to scam groups impersonating our brand ""Eatigo"" on WhatsApp in Singapore.

People are randomly added to these WhatsApp groups claiming to be the ""Eatigo promotion team,"" supposedly helping restaurants gain visibility on our behalf. The exact number of these scam groups is unknown.

Here's how it works: Those who respond to the message are directed to move to Telegram. An individual posing as an Eatigo task reviewer/auditor (Telegram ID: Alison5959) requests personal information like full name, age, occupation, and PayNow number before sending a verification form. Afterward, this ""auditor"" provides further instructions. Though details are lacking, the assumption is to persuade users to transfer money to join a ""work group,"" establish an Eatigo ""work group account,"" and deposit a ""membership fee,"" with the promise of commission plus the original amount being returned.

With this scam in circulation, we urge you to help spread awareness to safeguard the public against such schemes.",Name: Alison6969 on Telegram,Contact: 639359262850,
Anonymous , 01 May 2024,Job Scam,"Message on WhatsApp:

“Welcome to join ""Eatigo"" restaurant promotion team. We invite you to help our partner restaurants gain visibility on the Eatigo homepage. Get 15SGD reward for every 3 likes collected. You can earn around S$120-650 per day.”

Thereafter, all communication will be on Telegram",Name: Eatigo,Contact:,
Anonymous , 30 Apr 2024,Impersonation Scam,"Received an impersonating phone call from someone claiming to be a CPF officer, using the phone number 927914??. The caller addressed me by my full Chinese name. He spoke in Mandarin, informing me that my CPF account would be frozen and that I needed to transfer my funds. I responded with a quick ""okay"" before hanging up. This incident indicates a potential compromise of my personal information.",Name: CPF,Contact: 92791480,
Anonymous , 30 Apr 2024,Software Update Scam,"While using my computer, I received a message purportedly from ""Microsoft Support"" ). Subsequently, at 11:22 AM, I dialed 64334317 from my mobile phone. A person named Michael, who claimed to be a Microsoft staff member, informed me that my computer had been hacked. He proceeded to share my computer screen and offered to assist me in filing a report with the Singapore Police (SP). Feeling uneasy about the situation, I decided to contact 999 using my wife's phone. Upon learning that I was speaking to the SP, Michael abruptly ended the call on my phone at 11:55 AM.

Following the advice of the SP, I reached out to 1800 7226688 and NCPC. Later, at 12:13 PM, I called 64334317 again, and a lady with a child's voice in the background answered the call.

I would like to share this encounter to warn the public on this Tech Support scam.",Name: microsoft support / michael,Contact: 64334317,
Anonymous , 29 Apr 2024,Impersonation Scam,"A fake lady voice (robot) telling me there is something with my ""DBS"" account. I put down the phone. Did not entertain the call.",Name: Fake call from dbs,Contact: 86570409,
Anonymous , 27 Apr 2024,Impersonation Scam,"Around 3 pm today, I received a call from an unknown number. The male caller addressed me by name, informing me that he had changed to a new phone number and that this was his new number, without first identifying himself. I quickly hung up the phone, and he has not contacted me since.",Name: NA,Contact: 88957610,
Anonymous , 24 Apr 2024,Internet Love Scam,"Met bernard on the Cmb app, and he promptly suggested continuing our conversation on WhatsApp or Telegram. He mentioned residing in a condo in tampines, making some investment and plan to be financial freedom in future.

He was insistent on speaking over the phone, engaging in sweet talk, and informed me of his business trip to bangkok for 2 weeks. He shared images of his photo, pre-boarding preparations, and arrival in bangkok, Additionally, he mentioned the client project restrictions on camera use due to NDA.

Repeatedly, he brought up an upcoming BTO project in bedok, seeking assistance in inspecting progress before making a decision on a capital placement.

As a token of appreciation, he claimed to have ""purchased a necklace"" symbolizing his constant presence in my heart. He also mentioned a second gift, a unique code from someone named nelson, involved in the capital placement, which would expire within 2 days.

Without any doubt being convinced by him and registered in the platform. After the first investment and got the return, i have proceed for a 2nd investment with a bigger amount but it getting more suspicious when the platform requested for more deposit in order to withdraw the money. Only then i realised i have caught in an investment scam.",Name: Bernard,Contact: 89197753,
Anonymous , 23 Apr 2024,Impersonation Scam,"I received an unknown phone call from 865765??. A female voice said it was an automated service informing me that a transaction of $4,000 had been made on my POSB account. To approve the transaction, I was instructed to press 1 to confirm. I chose to hang up instead.",Name: POSB,Contact: 86576546,
Anonymous , 23 Apr 2024,Job Scam,"This is similar to a job scam where they pay you some money if you like certain restaurants on Eatigo. They contact you on WhatsApp, and once you complete these tasks, you are directed to Telegram to report and receive payment.

They assign various missions and tasks, and for more complex tasks, you are placed in a group of three with a manager to guide you. Each task typically involves 2-3 orders, and you cannot leave midway through. Initially, you transfer a small amount of money to the merchant's bank account. They then load it into the Eatigo link as your balance. The transfers gradually increase in size, and you feel compelled to continue, fearing that your previous transfers will be forfeited otherwise.

You must adhere strictly to their instructions. Any mistake results in a demand for more funds. I communicated with the other two members of the group, and they both received money as they followed the instructions precisely.

I persisted and ended up losing a significant amount of money. When I threatened to report them to the police, they encouraged me to proceed, claiming that their legal team could handle any police reports. The supervisor promised that if I transferred the last fund, the company would take full responsibility if anything went wrong again. However, I only have her word for it, and I am unwilling to risk losing more money.",Name: Eatigo,Contact:,
Anonymous , 23 Apr 2024,Impersonation Scam,"Received a pre-recorded call indicating there's a $900+ charge to my credit card which requires authorisation. #1 if i authorise #2 to speak to an officer for more information. a man on the other line ask me what do I need to know and I've asked for more information. sounded kinda fishy and before he wanted to ask for my personal details, I hung up.",Name: UOB Bank,Contact: 84967911,
Anonymous , 23 Apr 2024,Job Scam,"I came across an Eatigo job opportunity through WhatsApp and was asked to ""like"" a restaurant through the web/app. After liking the post, I received a small commission of SGD $15. Subsequently, they asked me to complete a special task to increase my commission from $15 to $20, but I had to transfer money to the ""merchant."" Ultimately, I was scammed out of close to $2.8k.

I've heard that this is a relatively new job scam out there, so please be careful.

Below are examples of the text:

Prepaid tasks
Group projects (2-3 orders)
A friendly reminder from merchants: As per the requirements of the Eatigo app, we are recruiting members from different countries to assist major hotel companies with reservations. Limited spots available!
The merchant has paid the deposit and will refund it immediately after ten minutes. Prepayment required! Safe and reliable!
Every order must be paid in advance. Please contact your manager who will guide you through your order.
Please contact your auditor for further details.

SGD 120 Cashback SGD 144 (Newcomer Bonus)
SGD 500 Cashback SGD 650 (Group Benefit)
SGD 800 Cashback SGD 1040 (Group Benefit)
SGD 1200 Cashback SGD 1560 (Group Benefit)
SGD 2000 Cashback SGD 2600 (Group Benefit)
SGD 3000 Cashback SGD 3900 (Group Benefit)
SGD 5000 Cashback SGD 6500 (Group Benefit)
SGD 10000 Cashback SGD 13000 (Group Benefit)

Missions 4-5-6 are group missions. Fill out and contact the auditor to settle your salary (20SGD).
Employees who complete two high-level tasks within a day can receive an additional SGD99 reward from the merchant.",Name: eatigo,Contact: 80700518,
Anonymous , 23 Apr 2024,Job Scam,"I was scammed via the website https://lgbri???.com while applying for the position of Online Travel Marketing Assistant. Here's what happened:

In response to Application #10297, the scammer, who goes by the name Ashley and can be contacted via WhatsApp at +6584654281, shared the following information:

""Lodgez"" is a Singapore-based company that collaborates with renowned hotels to enhance their ratings and reviews through precise real-time data analysis. Our role is to improve the visibility and exposure of hotels to potential customers. Lodgez provides genuine and organic data traffic for hotel owners. The platform utilizes an integrated data algorithm, and your job is to submit product data by clicking. The system will handle data generation and distribution to the appropriate marketplaces.

You will receive a basic salary of $700 for every 7 consecutive days once you are fully committed to the job. The second source of income is commission-based, which varies and is based on the deals you optimize. The more deals you optimize per day, the more you can earn. The commission will be 0.5% of the hotel's price that you optimize, and it is paid out immediately upon job completion. Your operational working hours are from 10:00 to 22:00 daily. You have the flexibility to schedule your work at your convenience, and it typically takes about 30 to 60 minutes to complete your daily workload.",Name: ASHLEY,Contact: 6584654281,
Anonymous , 22 Apr 2024,Impersonation Scam,"I received a call from 9055 83??, claiming to be from ""DBS"" bank, stating that multiple unauthorised transactions were made under my name. The automated response instructed me to press ""0"" to speak to a customer service officer.",Name: DBS BANK,Contact: 90558372,
Anonymous , 21 Apr 2024,Impersonation Scam,"Received a video call on WhatsApp from an individual wearing a Singaporean officer uniform with a police logo background. The caller, an Indian man wearing a mask, informed me of alleged illegal online transactions that required investigation. He requested to switch the video to show my IC ID front and back, but I concealed the barcode. After turning off his camera, he mentioned an ATM account number used in the transactions, which I couldn't recall due to fear. He then asked to see my ATM card for confirmation, to which I falsely claimed not to possess a physical DBS card. Despite my insistence that his camera was off, he persisted in demanding my ATM card details. Reluctantly, I showed another ATM card without visible numbers. He attempted to verify my WhatsApp with a code, but I pretended not to receive it. He then sent a Grab SMS with a PIN (which I shared: 1909??), followed by a request for my Grab PIN, to which I claimed ignorance, citing my use of fingerprint authentication. He coerced me into resetting my Grab PIN via Yahoo email, threatening legal consequences if I refused. Upon expressing my intention to cooperate at a police station, he warned of impending arrest and claimed officers would arrive in two hours, terminating the call.
Video call occurred on WhatsApp on April 21, 2024, around 4 PM, lasting approximately 15 minutes.
Though no tangible losses occurred, I inadvertently shared images of my IC ID front and back, as well as a non-numbered ATM card during the video call.",Name: No caller ID,Contact: 923277626813,
Anonymous , 19 Apr 2024,Job Scam,"Getting to know each other through Instagram, I was approached with a plea for help. They asked for assistance in a part-time job for ""MIU MIU"", involving online purchases to help boost the brand's sales. They promised to reimburse the payment within 10-15 minutes, offering a 5% commission.

Unfortunately, I fell into their trap and lost $16,200. This serves as a reminder not to trust strangers, especially when it comes to matters involving money. Vigilance can help prevent falling victim to scams like this.

I've uploaded the scammer's WhatsApp profile photo and Instagram photo to warn others and prevent them from being deceivedr.",Name: MIU MIU,Contact: 82720042,
Anonymous , 18 Apr 2024,Job Scam,"I was invited to a random WhatsApp group called Inpand?? Capital, where the admin, who goes by the name Advisor Mandy, messaged the group. She claimed that people could earn a side income and pocket money every day by following TikTok merchants. She asserted that participants could earn 4500SGD monthly and that everyone who read the message would have the chance to receive 100SGD+ per day.

I recognise this as a scam since it sounds too good to be true, and there's no such thing as easy money. Please be cautious and aware of this.",Name: Adviser Mandy,Contact:,
Anonymous , 16 Apr 2024,Impersonation Scam,"A local number called me and addressed me by my name, telling me he's my friend, the 'chubby' one. When I asked his name, he told me to guess it. I suggested a name, and he confirmed it was him. When I asked him why his voice sounded different, he said he had the flu, hence the change in his voice. He then explained that he got a new number because he lost his phone, which is why he was calling to inform me. He asked if I was free next Sunday; I told him I was not. Being busy with what I was doing, he ended the call.

I wasn't convinced it was the person I know, so I called the number from my phone to check, and true enough, my friend hadn't changed his phone number.",Name: Na,Contact: 93649536,
Anonymous , 16 Apr 2024,Phishing Scam,"I received a random call from an unknown Singapore number, which displayed as (919668??).

The caller claimed to be from the ""ICA"" (Immigration and Checkpoints Authority), stating, 'This is an important notice from ""ICA"". You have an urgent document. For details in English, press 1. For Mandarin, press 2.'

Recognizing this as a scam, I declined to engage further. The ICA typically does not communicate via mobile numbers, and their approach of pressurising individuals into immediate responses is a red flag. I urge everyone to exercise caution and remain vigilant against such attempts at deception",Name: Claims to be ICA,Contact: 91966840,
Anonymous , 13 Apr 2024,Internet Love Scam,"I met this guy on CMB and quickly moved to WhatsApp. He claimed to have worked in Singapore for six years, holding permanent residency and working for ""ITN Global"", a cybersecurity company, as a project manager. He expressed a desire for a serious relationship and shared details about his daily meals. He claimed to reside at The Sail. He insisted on frequent calls, citing a business trip to Hong Kong. He mentioned his friend Marcus having limited-time access to special opportunities with NCSS, requiring the purchase of USDT to earn over 20%. He pressured me to invest, using future planning as justification. He sent family and travel photos, which I later discovered were from someone else's Instagram, with a video featuring a different voice.",Name: Alvin teh wei feng,Contact: 6580594618,
Anonymous , 13 Apr 2024,Job Scam,"I joined a WhatsApp group where all I had to do was like Shopee shops to get paid. Curious, I decided to give it a shot. They paid me through PayNow after making me add someone (a receptionist) on Telegram.
There were two groups: one for tasks and another where everyone shared their earnings and asked questions. Most seemed like unknowing users like myself, or so I thought from their questions.
I was encouraged to keep doing simple tasks like Shopee shops, with occasional tasks where we paid $5 or less to order an item to a specific address (Royal Logistics SG408868, Tel: 8481 7066, which I suspect is involved in the scam).
I received payment for every $18 earned (which equates to 6 tasks), with at least 1 purchase task in the mix. Everything went smoothly, and I got paid 4 times.
Then came multiple tasks where you could choose the amount to pay, ranging from $70 to $2000++, promising 20-50% cashback. I opted for the $70 one, thinking I didn't have much to lose since I'd made money from completing tasks.
I was given a PayNow number to transfer the money. I was asked to create an account on a website and then contact another person on Telegram. I was told to complete 30 ""reviews"" on the website.
But when I finished the tasks, I was informed that the merchant task usually involved 2-4 tasks, so the money I paid wasn't enough to continue, and I needed to top up a minimum of $85 more. I was told I couldn't get any refund or withdraw any cash until I completed the task via the website. I also couldn't continue any tasks from the group until my current task was completed, and I had to pay to continue doing anything.
Despite my suspicions, I decided to pay another $85 since I'd already paid once. Not surprisingly, I was told I couldn't withdraw because I needed to complete another task, this time with a minimum of $100+.
Realising what was going on, I stopped and tried to warn the others in the group to be careful about being scammed. However, they all shrugged it off, even commenting that I was a ""first-timer"" and should just pay and continue. It was then that I realized most of the ""members"" were probably scammers too.","Name: Jenson,Belinda",Contact: 85220853,
Anonymous , 12 Apr 2024,Impersonation Scam,"I received a call from a local number. When I picked up, the caller addressed me by name and asked if I was free next week to meet up for a chat or lunch. I asked who he was, and he seemed surprised, saying, ""How can you not know who I am when we've been friends for so many years?"" I reiterated that I didn't know, and he urged me to guess, insisting that I would surely recall who he is.
I mentioned a friend who owed me money a while ago, asking if it was him. He scolded me and abruptly ended the call.",Name: None,Contact: 82781948,
Anonymous , 12 Apr 2024,Impersonation Scam,"I received a random phone call purporting to be from Singtel Telecom, stating: ""Dear customer, Your phone will be forced to stop for no reason. Press ""1"" for English and ""2"" for Chinese.

In today's landscape filled with scams, I'm cautious of fraudulent calls posing as authorities or telecom companies like ""Singtel"". Please stay vigilant.",Name: singtel telecom service,Contact:,
Anonymous , 11 Apr 2024,Impersonation Scam,"Yesterday, I received a call from 854727??. A lady with a Taiwanese accent claimed to be an IMDA officer and insisted on speaking in Chinese. I feigned ignorance and hung up. On the 11th of April, they called again, speaking in accented English and mispronouncing my name. They threatened to suspend my mobile number at 4 pm. I pretended to comply, and the caller abruptly ended the call.",Name: IMDA,Contact: 90753582,
Anonymous , 11 Apr 2024,Impersonation Scam,"A caller asked me to guess their identity. Once I guessed, they impersonated that person and claimed their original phone number was lost. They asked me to update my contact to a new number they were using. On 06/04/2024, they called again, requesting S$1,880.00 for urgent payment, promising to return it the next day. Fortunately, we asked them to contact a mutual friend who identified them as an imposter. We avoided a phone scam successfully.",Name: personal contact,Contact: 580641926,
Anonymous , 09 Apr 2024,Phishing Scam,"Received an unknown phone call from 848314? Answered the call to an automated voice stating that a charge of a few thousand dollars has been made on your UOB credit card ending in XXXX. Following that, it will give you options: press 1 to confirm the transaction or press 2 to speak to customer service.

As most people will not remember transactions, they will most likely press ""2"" to find out more. The call will then be transferred to scammers after that.

Wanted to share my encounter to warn others of this scam. ",Name: AUTOMATED VOICE CALL CLAIMING A CHARGE WAS MADE ON YOUR UOB CREDIT CARD,Contact: 84831442,
Anonymous , 09 Apr 2024,Impersonation Scam,"The caller spoke in Mandarin, with a Taiwanese accent. They impersonated an ""IMDA"" officer and asked for my personal information. They also inquired why I signed up for another phone number. When I requested them to speak English, they couldn't, so I hung up the call",Name: IMDA,Contact: 31251665,
